event_id,event_type,event_name,institution_id,artist_id,curator_id,start_date,end_date,event_date,city,country,source_url,confidence_score,notes
event_artist_kaye_donachie_i_kept_the_memory_for_myself_22_02_2024_13,gallery_exhibition,I kept the memory for myself,institution_maureen_paley,artist_kaye_donachie,,2024-02-22,2024-03-30,2024-02-22,London,United Kingdom,https://www.maureenpaley.com/exhibitions/kaye-donachie-I-kept-the-memory-for-myself,1,
event_artist_kaye_donachie_kaye_donachie_song_for_the_last_act_13_05_2023_14,museum_exhibition,Kaye Donachie: Song for the Last Act,,artist_kaye_donachie,,2023-05-13,2023-10-08,2023-05-13,,,https://pallant.org.uk/whats-on/kaye-donachie-song-for-the-last-act/,1,
event_artist_kaye_donachie_into_the_thousand_mirrors_28_08_2021_17,gallery_exhibition,Into The Thousand Mirrors,institution_lismore_castle,artist_kaye_donachie,,2021-08-28,2021-10-31,2021-08-28,County Waterford,Ireland,https://lismorecastlearts.ie/whats-on/kaye-donachie,1,
event_artist_kaye_donachie_there_might_be_someone_else_inside_you_said_the_mirror_beside_you_19_10_2019_18,gallery_exhibition,"There might be someone else inside you, said the Mirror, beside you",institution_yuka_tsuruno_gallery,artist_kaye_donachie,,2019-10-19,2019-12-21,2019-10-19,Tokyo,Japan,https://yukatsuruno.com/gallery/exhibitions/kayedonachie,1,
event_artist_pavlo_kerestey_proxies_25_09_2025_25,gallery_exhibition,Proxies,institution_voloshyn_gallery,artist_pavlo_kerestey,,2025-09-25,2025-10-25,2025-09-25,Miami,United States,https://voloshyngallery.art/exhibitions/96-proxies/,1,
event_artist_pavlo_kerestey_sentience_03_08_2024_26,gallery_exhibition,Sentience,institution_voloshyn_gallery,artist_pavlo_kerestey,,2024-08-03,2024-09-03,2024-08-03,Miami,United States,https://voloshyngallery.art/exhibitions/83-sentience/,1,
event_artist_pavlo_kerestey_she_asked_i_followed_her_name_is_after_24_04_2022_27,gallery_exhibition,"She Asked, I Followed. Her Name Is After",institution_voloshyn_gallery,artist_pavlo_kerestey,,2022-04-24,2022-05-15,2022-04-24,Miami,United States,https://voloshyngallery.art/exhibitions/26-she-asked-i-followed.-her-name-is-after/,1,
event_artist_nikita_kadan_who_s_there_old_question_who_s_there_17_01_2026_30,gallery_exhibition,"Who's There, Old Question, Who's There",institution_voloshyn_gallery,artist_nikita_kadan,,2026-01-17,2026-03-14,2026-01-17,Miami,United States,https://voloshyngallery.art/exhibitions/101-whos-there-old-question-whos-here/,1,
event_artist_nikita_kadan_tryvoha_07_03_2025_31,gallery_exhibition,Tryvoha,institution_voloshyn_gallery,artist_nikita_kadan,,2025-03-07,2025-04-27,2025-03-07,Kyiv,Ukraine,https://voloshyngallery.art/exhibitions/91-tryvoha/,1,
event_artist_nikita_kadan_the_radical_bone_01_12_2024_32,gallery_exhibition,The Radical Bone,institution_voloshyn_gallery,artist_nikita_kadan,,2024-12-01,2025-02-25,2024-12-01,Miami,Ukraine,https://voloshyngallery.art/exhibitions/88-the-radial-bone/,1,
event_artist_nikita_kadan_avert_your_eyes_12_10_2024_33,gallery_exhibition,Avert Your Eyes,institution_voloshyn_gallery,artist_nikita_kadan,,2024-10-12,2024-12-10,2024-10-12,New York,United States,https://voloshyngallery.art/exhibitions/86-avert-your-eyes/,1,
event_artist_zhanna_kadyrova_instrument_2026_01_24_37,gallery_exhibition,Instrument,institution_galleria_continua,artist_zhanna_kadyrova,,2026-01-24,2026-04-19,2026-01-24,San Gimignano,Italy,https://www.galleriacontinua.com/artists/zhanna-kadyrova-38/exhibitions,1.00,
event_artist_zhanna_kadyrova_fragments_de_ville_2026_01_22_38,gallery_exhibition,Fragments De Ville,institution_galleria_continua,artist_zhanna_kadyrova,,2026-01-22,2026-03-21,2026-01-22,Paris,France,https://www.galleriacontinua.com/exhibitions/fragments-de-ville-522,1.00,
event_artist_zhanna_kadyrova_objects_trouv_ts_2025_09_06_39,gallery_exhibition,Objects trouvéts,institution_galleria_continua,artist_zhanna_kadyrova,,2025-09-06,2026-12-20,2025-09-06,Le Moulins,France,https://www.galleriacontinua.com/exhibitions/objets-trouves-504,1.00,
event_artist_zhanna_kadyrova_strategic_locations_2025_03_28_40,gallery_exhibition,Strategic Locations,institution_galleria_continua,artist_zhanna_kadyrova,,2025-03-28,2025-05-28,2025-03-28,Paris,France,https://www.galleriacontinua.com/exhibitions/strategic-locations-490,1.00,
event_artist_zhanna_kadyrova_security_gurarantees_2026_05_09_42,biennial_inclusion,Security Gurarantees,institution_la_biennale_di_venezia,artist_zhanna_kadyrova,,2026-05-09,2026-11-22,2026-05-09,Venice,Italy,https://www.labiennale.org/en/art/2026/ukraine,1.00,
event_artist_wolfgang_tillmans_fold_me_2023_09_07_47,gallery_exhibition,Fold Me,institution_david_zwirner,artist_wolfgang_tillmans,,2023-09-07,2023-10-14,2023-09-07,New York,United States,https://www.davidzwirner.com/exhibitions/2023/wolfgang-tillmans-fold-me,1.00,
event_artist_wolfgang_tillmans_the_point_is_matter_2024_03_25_48,gallery_exhibition,The Point Is Matter,institution_david_zwirner,artist_wolfgang_tillmans,,2024-03-25,2024-05-11,2024-03-25,Hong Kong,China,https://www.davidzwirner.com/exhibitions/2024/wolfgang-tillmans-the-point-is-matter,1.00,
event_artist_wolfgang_tillmans_build_from_here_2025_10_03_49,gallery_exhibition,Build From Here,institution_maureen_paley,artist_wolfgang_tillmans,,2025-10-03,2025-12-20,2025-10-03,London,United Kingdom,https://www.maureenpaley.com/exhibitions/wolfgang-tillmans-build-from-here,1.00,
event_artist_wolfgang_tillmans_moon_in_earthlight_2021_06_30_50,gallery_exhibition,Moon in Earthlight,institution_maureen_paley,artist_wolfgang_tillmans,,2021-06-30,2021-09-05,2021-06-30,Hove,United Kingdom,https://www.maureenpaley.com/exhibitions/wolfgang-tillmans-10,1.00,
