artist_id,canonical_name,primary_medium,notes
artist_wolfgang_tillmans,Wolfgang Tillmans,,
artist_susanne_clausen,Susanne Clausen,,
artist_jade_fadojutimi,Jade Fadojutimi,,
artist_tunji_adeniyi_jones,Tunji Adeniyi-Jones,,
artist_issy_wood,Issy Wood,,
artist_flora_yukhnovich,Flora Yukhnovich,,
artist_louise_giovanelli,Louise Giovanelli,,
artist_jenna_gribbon,Jenna Gribbon,,
artist_salman_toor,Salman Toor,,
artist_amoako_boafo,Amoako Boafo,,
artist_emma_webster,Emma Webster,,
artist_lucy_bull,Lucy Bull,,
artist_jennifer_packer,Jennifer Packer,,
artist_christina_quarles,Christina Quarles,,
artist_tschabalala_self,Tschabalala Self,,
artist_toyin_ojih_odutola,Toyin Ojih Odutola,,
artist_jordan_casteel,Jordan Casteel,,
artist_oscar_yi_hou,Oscar yi Hou,,
artist_michael_armitage,Michael Armitage,,
artist_lynette_yiadom_boakye,Lynette Yiadom-Boakye,,
artist_njideka_akunyili_crosby,Njideka Akunyili Crosby,,
artist_dana_schutz,Dana Schutz,,
artist_pavlo_kerestey,Pavlo Kerestey,,
artist_kaye_donachie,Kaye Donachie,,